"","edf","Ref.df","F","p-value"
"s(time_yrs)",3.92040162786835,3.99485565822594,43.4551228717693,0
"s(dd_zscore)",1.00026884890883,1.00031324955165,0.0740163167336111,0.785688111642871
"ti(time_yrs,dd_zscore)",8.8874722412642,8.99024048257245,509.949740359189,0
"s(ID_fac)",206.817435709417,245,15.7919713588797,0
