"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"dd_gradeGrade I",1.49170838188515,0.216827283845105,1.84442668415737,0.0651209814478267,0.975259549275976,2.28164276703403
"dd_gradeGrade II",1.39005165555152,0.221823619271763,1.48469721033581,0.137624051045112,0.899941609610018,2.147076637493
"dd_gradeGrade III",0.124124902707179,0.650894996232056,-3.20553538208891,0.00134811471501613,0.0346590054080001,0.444530686633907
"dd_gradeIndeterminate",NA,0,NA,NA,NA,NA
"age",1.00657102066835,0.00524949906330415,1.24764773640161,0.212160088647908,0.996267679011942,1.0169809188773
"SexFemale",0.917834053709898,0.172259695717359,-0.497729162498204,0.618674950462581,0.654841882222773,1.28644696226525
"LBMI",1.04939563726725,0.0150911136712279,3.19488779642198,0.00139885213172074,1.01881111669405,1.0808982994698
