"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"fp_classElevated",1.81440607779662,0.211927934539194,2.81113570797877,0.00493669589557445,1.19768085409836,2.74870338277525
"fp_classIndeterminate",NA,0,NA,NA,NA,NA
"age",1.0050144200265,0.00610919848504894,0.818747288277125,0.412930610674854,0.993052328134387,1.01712060467021
"SexFemale",1.29244840107475,0.19865397756525,1.2913831776676,0.196570840946307,0.875625985325491,1.90768992404874
"LBMI",1.08616579146088,0.0187411360255399,4.41029146975809,1.03231574837477e-05,1.04699265931943,1.12680458266701
