"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",86.4228131164187,1.79628533619526,48.1119627127127,0
"age",-0.68132577551988,0.016739929603881,-40.700635644365,0
"SexFemale",-3.93928835157461,2.22277012126327,-1.77224280364889,0.0763780671516054
"LBMI",0.971471975085329,0.042847733670142,22.6726571483123,1.30318574454648e-111
