"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"dd_zscore",0.585760084888611,0.101986050399397,-5.24429549526824,1.56880601787241e-07,0.479633038590497,0.715369562649455
"age",1.00605376445246,0.00268121987385646,2.25103285935129,0.0243834562549096,1.00078072425846,1.01135458790828
"SexFemale",1.34369611763437,0.0855896733845412,3.4516326783714,0.000557205726905213,1.13617963398169,1.58911425847191
"LBMI",1.04797437637067,0.00822285483957008,5.69864560255406,1.2076296976741e-08,1.0312200710529,1.0650008900701
